Flow Hash,Source IP,Destination IP,Number of Packets,Number of Packets (Scaled to 1000000),Source Port,Destination Port,Average Packet Size,Minimum Packet Size,Maximum Packet Size,Total Bytes,IAT Min,IAT Max,IAT Mean,Label
9212240261275331016,37.60.229.253,141.89.68.166,6957,0.006957,0.8662241550316625,0.006759746700236515,0.48542360212735375,0.036,1.052,0.03377092,0.0004070440928141276,204.08208225568134,96.30156487434354,n/a
-2308784708936628104,141.89.68.166,37.60.229.253,31,3.1e-05,0.006759746700236515,0.8662241550316625,0.19486021505376344,0.044,0.22266666666666668,6.0406666666666665e-05,0.05007817347844442,1.4034315705299378,0.7775075932984712,n/a
1747535285989605830,176.211.106.206,37.60.229.253,12,1.2e-05,0.736919203479057,0.0003356984817273213,0.1248888888888889,0.044,0.8226666666666667,1.4986666666666667e-05,0.0008447488149007161,0.07666042248407999,0.014879116415977478,malicious
-4283198458810719004,37.60.229.253,176.211.106.206,13,1.3e-05,0.0003356984817273213,0.736919203479057,0.13533333333333333,0.044,0.6946666666666667,1.7593333333333333e-05,0.000844573974609375,0.07581355571746826,0.013939585135533259,malicious
-2164240801747726439,37.60.229.253,94.154.43.56,2,2e-06,0.0003356984817273213,0.7350270847638667,0.04933333333333333,0.04933333333333333,0.04933333333333333,9.866666666666666e-07,0.27306591272354125,0.27306591272354125,0.27306591272354125,malicious
358950319932348598,37.60.229.253,79.225.178.215,520,0.00052,0.0003356984817273213,0.6314488441290913,0.08836923076923078,0.044,1.4493333333333334,0.00045952,1.6570091247558594e-06,0.16481022040049234,0.08157649003542389,benign
8431942706062833940,37.60.229.253,166.62.94.210,13,1.3e-05,0.0003356984817273213,0.887708857862211,0.13615384615384615,0.044,0.6946666666666667,1.77e-05,0.002616286277770996,0.07938546339670817,0.018728538965567566,malicious
-2458139124109692167,84.44.39.47,37.60.229.253,25,2.5e-05,0.7946898603799496,0.0003356984817273213,0.12122666666666666,0.044,0.8226666666666667,3.0306666666666666e-05,0.0007671554883321126,2.4073868870735167,1.1386457974116009,malicious
6296040304138614927,37.60.229.253,84.44.39.47,12,1.2e-05,0.0003356984817273213,0.7946898603799496,0.14294444444444443,0.044,0.6946666666666667,1.7153333333333334e-05,0.0009175300598144531,0.06968911091486613,0.013565484351581997,malicious
3889538525144510426,37.60.229.253,85.239.151.10,4,4e-06,0.7540398260471504,0.653177691309987,0.036,0.036,0.036,1.44e-06,11.747225407759348,34.30461592674256,22.991340490182242,n/a
-2015658318837125931,216.87.32.137,37.60.229.253,56,5.6e-05,0.639505607690547,0.0003356984817273213,0.11171428571428572,0.044,0.8226666666666667,6.256e-05,0.0014273484547932943,6.1823420286178585,2.8681006671417326,malicious
396917790988212302,37.60.229.253,216.87.32.137,13,1.3e-05,0.0003356984817273213,0.639505607690547,0.13533333333333333,0.044,0.6946666666666667,1.7593333333333333e-05,0.001594376564025879,0.04795395930608114,0.011781822718106783,malicious
-4967955506677519877,157.245.149.24,37.60.229.253,89,8.9e-05,0.7905699244678416,0.0003509575036240177,0.04,0.04,0.04,3.56e-05,1.8768368204434713,197.93947945833207,90.19223163650278,n/a
-341277124581603159,37.60.229.253,157.245.149.24,89,8.9e-05,0.0003509575036240177,0.7905699244678416,0.036,0.036,0.036,3.204e-05,1.8768392324447631,197.9394799431165,90.19223687206762,n/a
-7892012565593736674,145.239.112.29,37.60.229.253,27,2.7e-05,0.5725337605859464,0.0003356984817273213,0.11550617283950618,0.044,0.8226666666666667,3.1186666666666664e-05,0.00022051334381103515,6.10920565923055,2.72095795251705,malicious
-5387493050226874200,37.60.229.253,145.239.112.29,12,1.2e-05,0.0003356984817273213,0.5725337605859464,0.14294444444444443,0.044,0.6946666666666667,1.7153333333333334e-05,0.00027331511179606117,0.07744362354278564,0.013812749915652806,malicious
-3717735671833227424,37.60.229.253,166.62.94.210,13,1.3e-05,0.0003356984817273213,0.907515068284123,0.13615384615384615,0.044,0.6946666666666667,1.77e-05,0.002674539883931478,0.05550279219945272,0.01521843121601985,malicious
7982145884594414268,181.177.241.110,37.60.229.253,12,1.2e-05,0.6556191348134585,0.0003356984817273213,0.12355555555555556,0.044,0.8226666666666667,1.4826666666666666e-05,4.144509633382161e-06,0.08248203198115031,0.024615515602959527,malicious
-6846594571811027364,37.60.229.253,181.177.241.110,12,1.2e-05,0.0003356984817273213,0.6556191348134585,0.1425,0.044,0.6946666666666667,1.71e-05,0.00018646717071533204,0.07966051896413168,0.018082538578245374,malicious
-3483164017099473111,178.251.142.166,37.60.229.253,12,1.2e-05,0.645944914930953,0.0003356984817273213,0.12355555555555556,0.044,0.8226666666666667,1.4826666666666666e-05,0.0008688012758890788,0.0672465721766154,0.01332360373602973,malicious
2211341209615309979,37.60.229.253,178.251.142.166,13,1.3e-05,0.0003356984817273213,0.645944914930953,0.13533333333333333,0.044,0.6946666666666667,1.7593333333333333e-05,0.0008689204851786296,0.06649349133173625,0.012516492146712082,malicious
-1347833914723171515,186.208.7.197,37.60.229.253,14,1.4e-05,0.676707103074693,0.0003356984817273213,0.11333333333333333,0.044,0.8226666666666667,1.586666666666667e-05,0.002801970640818278,0.07430965900421142,0.01822066278684707,malicious
-7928322652157613626,37.60.229.253,186.208.7.197,13,1.3e-05,0.0003356984817273213,0.676707103074693,0.13533333333333333,0.044,0.6946666666666667,1.7593333333333333e-05,0.002869578202565511,0.07153373956680298,0.018404368865184297,malicious
-4784584599216470723,14.96.24.250,37.60.229.253,12,1.2e-05,0.6553749904631113,0.0003356984817273213,0.1248888888888889,0.044,0.8226666666666667,1.4986666666666667e-05,0.0025464177131652834,0.051739740371704104,0.01482834219932556,malicious
-962054922113661492,37.60.229.253,14.96.24.250,12,1.2e-05,0.0003356984817273213,0.6553749904631113,0.13827777777777778,0.044,0.6946666666666667,1.6593333333333333e-05,0.0025461554527282716,0.049041461944580075,0.0113540381193161,malicious
7585080065620179521,51.210.100.146,37.60.229.253,34,3.4e-05,0.6181429770351721,0.0003356984817273213,0.10094117647058823,0.044,0.8226666666666667,3.432e-05,0.0002116839090983073,2.5926763375600177,1.2850529955882652,malicious
8989274707959233263,37.60.229.253,51.210.100.146,12,1.2e-05,0.0003356984817273213,0.6181429770351721,0.14294444444444443,0.044,0.6946666666666667,1.7153333333333334e-05,0.0004630525906880697,0.039615726470947264,0.009459722373220656,malicious
-7860118593803556517,37.60.229.253,79.225.178.215,126,0.000126,0.0003356984817273213,0.749736781872282,0.18584656084656084,0.044,1.02,0.00023416666666666668,0.00058747132619222,0.049370960394541426,0.03584460925172875,benign
8646284180172218325,37.60.229.253,79.225.178.215,98,9.8e-05,0.0003356984817273213,0.7499809262226291,0.15968027210884353,0.044,1.02,0.00015648666666666667,0.0006051103274027507,0.030750425656636556,0.019235056517075525,benign
-5407156533656431054,167.233.75.12,37.60.229.253,24,2.4e-05,0.7528191042954147,0.0003356984817273213,0.12444444444444444,0.044,0.8226666666666667,2.9866666666666666e-05,0.00028654336929321287,6.700629345575968,3.3299979850649835,malicious
5571201252094638460,37.60.229.253,167.233.75.12,12,1.2e-05,0.0003356984817273213,0.7528191042954147,0.14294444444444443,0.044,0.6946666666666667,1.7153333333333334e-05,0.000287167231241862,0.06304795742034912,0.011425314678086175,malicious
-5474654826918767545,115.146.121.179,37.60.229.253,17,1.7e-05,0.851117723353933,0.0003356984817273213,0.10109803921568628,0.044,0.8226666666666667,1.7186666666666666e-05,0.0038722316424051923,0.0738290786743164,0.024814459389331293,malicious
-5015508446812797155,37.60.229.253,115.146.121.179,13,1.3e-05,0.0003356984817273213,0.851117723353933,0.13533333333333333,0.044,0.6946666666666667,1.7593333333333333e-05,0.004036339124043783,0.07017396291097006,0.02162609222607735,malicious
-3532175377590553145,79.124.62.134,37.60.229.253,2,2e-06,0.8851911192492561,0.25966277561608303,0.04,0.04,0.04,8e-07,0.0005900979042053223,0.0005900979042053223,0.0005900979042053223,n/a
-8093011334762487723,37.60.229.253,79.124.62.134,23,2.3e-05,0.25966277561608303,0.8851911192492561,0.036,0.036,0.036,8.28e-06,0.3130801796913147,37.447956073284146,22.041060580550763,n/a
2299377451210260414,210.245.95.13,37.60.229.253,17,1.7e-05,0.7208056763561456,0.0003356984817273213,0.1007843137254902,0.044,0.8226666666666667,1.7133333333333334e-05,0.003372041384379069,0.1633762280146281,0.06218896099165374,malicious
8520203564282300306,37.60.229.253,210.245.95.13,12,1.2e-05,0.0003356984817273213,0.7208056763561456,0.14294444444444443,0.044,0.6946666666666667,1.7153333333333334e-05,0.003590738773345947,0.16000103950500488,0.058026023043526546,malicious
-2030292197630345267,37.60.229.253,79.225.178.215,245,0.000245,0.0003356984817273213,0.7500724803540093,0.22363809523809525,0.044,1.0013333333333334,0.0005479133333333333,0.000593868891398112,0.04185264507929484,0.028031260934816747,benign
5514981828553536886,78.128.114.166,37.60.229.253,2,2e-06,0.8843823910887312,0.09898527504386968,0.04,0.04,0.04,8e-07,0.00045514504114786783,0.00045514504114786783,0.00045514504114786783,n/a
1794316330186219343,37.60.229.253,78.128.114.166,30,3e-05,0.09898527504386968,0.8843823910887312,0.036088888888888886,0.036,0.03866666666666667,1.0826666666666667e-05,1.5665795962015787,194.69574249982833,98.42947558230824,n/a
-6623363045334084061,37.60.229.253,79.225.178.215,95,9.5e-05,0.0003356984817273213,0.5854886701762417,0.1500280701754386,0.044,0.996,0.00014252666666666667,0.0006302913029988606,0.03232229948043823,0.01973507237016109,benign
